Model,Commodity,H,Return %,Sharpe,Max DD %,Trades,Win Rate,Profit Factor
dual_stream_lstm,corn,1,78.19,5.072,-1.44,640,50.31%,2.53
dual_stream_lstm,corn,5,78.42,5.112,-1.44,639,50.39%,2.54
dual_stream_lstm,corn,10,77.71,5.090,-1.45,636,50.31%,2.53
dual_stream_lstm,soybeans,1,56.68,3.971,-1.78,557,47.40%,2.25
dual_stream_lstm,soybeans,5,56.67,3.996,-1.78,554,47.47%,2.26
dual_stream_lstm,soybeans,10,56.19,3.990,-1.79,550,47.45%,2.26
dual_stream_lstm,wheat,1,80.57,5.263,-2.20,654,50.46%,2.55
dual_stream_lstm,wheat,5,80.09,5.264,-2.21,650,50.46%,2.55
dual_stream_lstm,wheat,10,78.91,5.211,-2.23,646,50.31%,2.53
gru,corn,1,78.19,5.072,-1.44,640,50.31%,2.53
gru,corn,5,78.42,5.112,-1.44,639,50.39%,2.54
gru,corn,10,77.71,5.090,-1.45,636,50.31%,2.53
gru,soybeans,1,56.68,3.971,-1.78,557,47.40%,2.25
gru,soybeans,5,56.67,3.996,-1.78,554,47.47%,2.26
gru,soybeans,10,56.19,3.990,-1.79,550,47.45%,2.26
gru,wheat,1,80.57,5.263,-2.20,654,50.46%,2.55
gru,wheat,5,80.09,5.264,-2.21,650,50.46%,2.55
gru,wheat,10,78.91,5.211,-2.23,646,50.31%,2.53
nbeats,corn,1,78.19,5.072,-1.44,640,50.31%,2.53
nbeats,corn,5,78.42,5.112,-1.44,639,50.39%,2.54
nbeats,soybeans,1,56.68,3.971,-1.78,557,47.40%,2.25
nbeats,soybeans,5,56.67,3.996,-1.78,554,47.47%,2.26
nbeats,wheat,1,80.57,5.263,-2.20,654,50.46%,2.55
nbeats,wheat,5,80.09,5.264,-2.21,650,50.46%,2.55
patchtst,corn,1,78.19,5.072,-1.44,640,50.31%,2.53
patchtst,corn,5,78.42,5.112,-1.44,639,50.39%,2.54
patchtst,soybeans,1,56.68,3.971,-1.78,557,47.40%,2.25
patchtst,soybeans,5,56.67,3.996,-1.78,554,47.47%,2.26
patchtst,wheat,1,80.57,5.263,-2.20,654,50.46%,2.55
patchtst,wheat,5,80.09,5.264,-2.21,650,50.46%,2.55
resnet,corn,1,78.19,5.072,-1.44,640,50.31%,2.53
resnet,corn,5,78.42,5.112,-1.44,639,50.39%,2.54
resnet,corn,10,77.71,5.090,-1.45,636,50.31%,2.53
resnet,soybeans,1,56.68,3.971,-1.78,557,47.40%,2.25
resnet,soybeans,5,56.67,3.996,-1.78,554,47.47%,2.26
resnet,soybeans,10,56.19,3.990,-1.79,550,47.45%,2.26
resnet,wheat,1,80.57,5.263,-2.20,654,50.46%,2.55
resnet,wheat,5,80.09,5.264,-2.21,650,50.46%,2.55
resnet,wheat,10,78.91,5.211,-2.23,646,50.31%,2.53
tft,corn,1,78.19,5.072,-1.44,640,50.31%,2.53
tft,corn,5,78.42,5.112,-1.44,639,50.39%,2.54
tft,corn,10,77.71,5.090,-1.45,636,50.31%,2.53
tft,soybeans,1,56.68,3.971,-1.78,557,47.40%,2.25
tft,soybeans,5,56.67,3.996,-1.78,554,47.47%,2.26
tft,soybeans,10,56.19,3.990,-1.79,550,47.45%,2.26
tft,wheat,1,80.57,5.263,-2.20,654,50.46%,2.55
tft,wheat,5,80.09,5.264,-2.21,650,50.46%,2.55
tft,wheat,10,78.91,5.211,-2.23,646,50.31%,2.53
transformer,corn,1,78.19,5.072,-1.44,640,50.31%,2.53
transformer,corn,5,78.42,5.112,-1.44,639,50.39%,2.54
transformer,corn,10,77.71,5.090,-1.45,636,50.31%,2.53
transformer,soybeans,1,56.68,3.971,-1.78,557,47.40%,2.25
transformer,soybeans,5,56.67,3.996,-1.78,554,47.47%,2.26
transformer,soybeans,10,56.19,3.990,-1.79,550,47.45%,2.26
transformer,wheat,1,80.57,5.263,-2.20,654,50.46%,2.55
transformer,wheat,5,80.09,5.264,-2.21,650,50.46%,2.55
transformer,wheat,10,78.91,5.211,-2.23,646,50.31%,2.53
